City,County,Population (2021)[3],Population (2011)[4],Population (2002),Elevation (m),Year statusgranted (a) orfirst attested (b),Image
Chișineu-Criș,Arad,"7,212","7,987","8,724",102,1968a,
Ghimbav,Brașov,"7,208","4,698","5,112",,2002a,
Budești,Călărași,"7,126","7,725","9,596",18,1526b/1989a,
Ulmeni,Maramureș,"7,110","7,270","7,153",,2004a,
Ungheni,Mureș,"7,007","6,945","6,554",,2004a,
Panciu,Vrancea,"6,921","7,664","9,834",,1956a,
Turceni,Gorj,"6,891","7,269","8,559",,2004a,
Murgeni,Vaslui,"6,853","7,119","7,674",,2003a,
Buziaș,Timiș,"6,834","7,023","8,128",128,1956a,
Amara,Ialomița,"6,805","7,345","7,627",30,2004a,
Pâncota,Arad,"6,787","6,946","7,418",,1968a,
Fundulea,Călărași,"6,714","6,851","6,217",,1989a,
Nădlac,Arad,"6,713","7,398","8,422",,1968a,
Tălmaciu,Sibiu,"6,711","6,905","9,147",,1989a,
Plopeni,Prahova,"6,709","7,718","10,083",,1968a,
Siret,Suceava,"6,708","7,976","10,003",,,
Uricani,Hunedoara,"6,669","8,972","12,177",,1965a,
Zlatna,Alba,"6,652","7,490","9,254",,,
Făget,Timiș,"6,595","6,761","7,519",,1994a,
Câmpeni,Alba,"6,569","7,221","8,587",533–618,1565b/1961a,
Vlăhița,Harghita,"6,468","6,898","7,392",,,
Horezu,Vâlcea,"6,467","6,263","7,446",,1968a,
Săveni,Botoșani,"6,447","6,999","8,685",,1920a/1968a,
Victoria,Brașov,"6,446","7,386","9,059",,1954a,
Pogoanele,Buzău,"6,384","7,275","7,614",,1989a,
Fieni,Dâmbovița,"6,378","7,587","8,092",,1968a,
Cehu Silvaniei,Sălaj,"6,369","7,214","8,468",320,1968a,
Tismana,Gorj,"6,359","7,035","7,894",,2004a,
Teiuș,Alba,"6,308","6,695","7,338",,1994a,
Răcari,Dâmbovița,"6,306","6,930","6,892",,2004a,
Pătârlagele,Buzău,"6,276","7,304","8,290",,2004a,
Dumbrăveni,Sibiu,"6,238","7,388","8,812",,,
Sărmașu,Mureș,"6,186","6,942","7,493",,2003a,
Ardud,Satu Mare,"6,124","6,231","6,486",180–200,2004a,
Bicaz,Neamț,"6,106","6,543","8,911",432,1960a,
Piatra-Olt,Olt,"6,000","6,299","6,583",,1989a,
Lehliu Gară,Călărași,"5,991","6,502","6,667",,1989a,
Târgu Bujor,Galați,"5,946","6,299","8,044",,1968a,
